Net Status Report
Filename     : C:\Users\ELSYS\Documents\2022_10_tom_gaupp_schmidt_messplatinen\00_Altium_Spannungsmessung_15kV\PCB_SpannungsmessungNEU.PcbDoc
Date         : 24.08.2023
Time         : 12:10:37
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetC60_2, Signal Layers Only, 7.0914mm
    NetC61_2, Signal Layers Only, 7.0914mm
    NetC62_2, Signal Layers Only, 7.0914mm
    NetC63_2, Signal Layers Only, 7.0914mm
    NetC64_2, Signal Layers Only, 20.919mm
    NetC65_2, Signal Layers Only, 7.0914mm
    NetC66_2, Signal Layers Only, 7.0914mm
    NetC67_2, Signal Layers Only, 7.0914mm
    NetC68_2, Signal Layers Only, 7.0914mm
    NetC69_2, Signal Layers Only, 21.719mm
    NetC70_2, Signal Layers Only, 7.0914mm
    NetC71_2, Signal Layers Only, 7.0914mm
    NetC72_2, Signal Layers Only, 7.0914mm
    NetC73_2, Signal Layers Only, 7.0914mm
    NetC74_2, Signal Layers Only, 21.019mm
    NetC75_2, Signal Layers Only, 7.0914mm
    NetC76_2, Signal Layers Only, 7.0914mm
    NetC77_2, Signal Layers Only, 7.0926mm
    NetC78_2, Signal Layers Only, 7.0926mm
    NetC79_2, Signal Layers Only, 20.7604mm
    NetC80_2, Signal Layers Only, 7.0914mm
    NetC81_2, Signal Layers Only, 7.0914mm
    NetC82_2, Signal Layers Only, 7.0914mm
    NetC83_2, Signal Layers Only, 7.0914mm
    NetC84_2, Signal Layers Only, 20.6983mm
    NetC85_2, Signal Layers Only, 7.0914mm
    NetC86_2, Signal Layers Only, 7.0914mm
    NetC87_2, Signal Layers Only, 7.0914mm
    NetC88_2, Signal Layers Only, 7.0914mm
    NetC8_1, Signal Layers Only, 10.3861mm
    NetC8_2, Signal Layers Only, 10.646mm
    NetC90_1, Signal Layers Only, 35.8635mm
    NetC90_2, Signal Layers Only, 7.7496mm
    NetC91_2, Signal Layers Only, 8.0216mm
    NetC92_2, Signal Layers Only, 7.8561mm
    NetC93_2, Signal Layers Only, 8.1044mm
    NetC94_2, Signal Layers Only, 20.1548mm
    NetC95_2, Signal Layers Only, 8.2371mm
    NetC96_2, Signal Layers Only, 8.2371mm
    NetC9_1, Signal Layers Only, 13.4705mm
    NetC9_2, Signal Layers Only, 13.7207mm
    OP_IN_N, Signal Layers Only, 42.7767mm
    OP_IN_P, Signal Layers Only, 59.2687mm
    U_OUT_N, Signal Layers Only, 35.2333mm
    U_OUT_P, Signal Layers Only, 17.8078mm
    U_Zwischen_N, Signal Layers Only, 24.3018mm
    U_Zwischen_P, Signal Layers Only, 24.1225mm
count : 170
